,,,,
,,Flywheel-1,,
,,Angular Displacement1 (deg),,
Frame,Time,Ref. Coordinate System: ,,
1,0.000,-1.4038E-14,,
2,0.007,-3.3838E+00,,
3,0.013,-6.7675E+00,,
4,0.020,-1.0151E+01,,
5,0.027,-1.3535E+01,,
6,0.033,-1.6919E+01,,
7,0.040,-2.0303E+01,,
8,0.047,-2.3686E+01,,
9,0.053,-2.7070E+01,,
10,0.060,-3.0454E+01,,
11,0.067,-3.3838E+01,,
12,0.073,-3.7221E+01,,
13,0.080,-4.0605E+01,,
14,0.087,-4.3989E+01,,
15,0.093,-4.7373E+01,,
16,0.100,-5.0756E+01,,
17,0.107,-5.4140E+01,,
18,0.113,-5.7524E+01,,
19,0.120,-6.0908E+01,,
20,0.127,-6.4291E+01,,
21,0.133,-6.7675E+01,,
22,0.140,-7.1059E+01,,
23,0.147,-7.4443E+01,,
24,0.153,-7.7826E+01,,
25,0.160,-8.1210E+01,,
26,0.167,-8.4594E+01,,
27,0.173,-8.7978E+01,,
28,0.180,-9.1361E+01,,
29,0.187,-9.4745E+01,,
30,0.193,-9.8129E+01,,
31,0.200,-1.0151E+02,,
32,0.207,-1.0490E+02,,
33,0.213,-1.0828E+02,,
34,0.220,-1.1166E+02,,
35,0.227,-1.1505E+02,,
36,0.233,-1.1843E+02,,
37,0.240,-1.2182E+02,,
38,0.247,-1.2520E+02,,
39,0.253,-1.2858E+02,,
40,0.260,-1.3197E+02,,
41,0.267,-1.3535E+02,,
42,0.273,-1.3873E+02,,
43,0.280,-1.4212E+02,,
44,0.287,-1.4550E+02,,
45,0.293,-1.4889E+02,,
46,0.300,-1.5227E+02,,
47,0.307,-1.5565E+02,,
48,0.313,-1.5904E+02,,
49,0.320,-1.6242E+02,,
50,0.327,-1.6580E+02,,
51,0.333,-1.6919E+02,,
52,0.340,-1.7257E+02,,
53,0.347,-1.7596E+02,,
54,0.353,-1.7934E+02,,
55,0.360,1.7728E+02,,
56,0.367,1.7389E+02,,
57,0.373,1.7051E+02,,
58,0.380,1.6713E+02,,
59,0.387,1.6374E+02,,
60,0.393,1.6036E+02,,
61,0.400,1.5697E+02,,
62,0.407,1.5359E+02,,
63,0.413,1.5021E+02,,
64,0.420,1.4682E+02,,
65,0.427,1.4344E+02,,
66,0.433,1.4006E+02,,
67,0.440,1.3667E+02,,
68,0.447,1.3329E+02,,
69,0.453,1.2990E+02,,
70,0.460,1.2652E+02,,
71,0.467,1.2314E+02,,
72,0.473,1.1975E+02,,
73,0.480,1.1637E+02,,
74,0.487,1.1299E+02,,
75,0.493,1.0960E+02,,
76,0.500,1.0622E+02,,
77,0.507,1.0283E+02,,
78,0.513,9.9451E+01,,
79,0.520,9.6067E+01,,
80,0.527,9.2683E+01,,
81,0.533,8.9300E+01,,
82,0.540,8.5916E+01,,
83,0.547,8.2532E+01,,
84,0.553,7.9148E+01,,
85,0.560,7.5765E+01,,
86,0.567,7.2381E+01,,
87,0.573,6.8997E+01,,
88,0.580,6.5613E+01,,
89,0.587,6.2230E+01,,
90,0.593,5.8846E+01,,
91,0.600,5.5462E+01,,
92,0.607,5.2078E+01,,
93,0.613,4.8695E+01,,
94,0.620,4.5311E+01,,
95,0.627,4.1927E+01,,
96,0.633,3.8543E+01,,
97,0.640,3.5160E+01,,
98,0.647,3.1776E+01,,
99,0.653,2.8392E+01,,
100,0.660,2.5008E+01,,
101,0.667,2.1625E+01,,
102,0.673,1.8241E+01,,
103,0.680,1.4857E+01,,
104,0.687,1.1473E+01,,
105,0.693,8.0897E+00,,
106,0.700,4.7059E+00,,
107,0.707,1.3221E+00,,
108,0.713,-2.0616E+00,,
109,0.720,-5.4454E+00,,
110,0.727,-8.8291E+00,,
111,0.733,-1.2213E+01,,
112,0.740,-1.5597E+01,,
113,0.747,-1.8980E+01,,
114,0.753,-2.2364E+01,,
115,0.760,-2.5748E+01,,
116,0.767,-2.9132E+01,,
117,0.773,-3.2515E+01,,
118,0.780,-3.5899E+01,,
119,0.787,-3.9283E+01,,
120,0.793,-4.2667E+01,,
121,0.800,-4.6050E+01,,
122,0.807,-4.9434E+01,,
123,0.813,-5.2818E+01,,
124,0.820,-5.6202E+01,,
125,0.827,-5.9585E+01,,
126,0.833,-6.2969E+01,,
127,0.840,-6.6353E+01,,
128,0.847,-6.9737E+01,,
129,0.853,-7.3120E+01,,
130,0.860,-7.6504E+01,,
131,0.867,-7.9888E+01,,
132,0.873,-8.3272E+01,,
133,0.880,-8.6655E+01,,
134,0.887,-9.0039E+01,,
135,0.893,-9.3423E+01,,
136,0.900,-9.6807E+01,,
137,0.907,-1.0019E+02,,
138,0.913,-1.0357E+02,,
139,0.920,-1.0696E+02,,
140,0.927,-1.1034E+02,,
141,0.933,-1.1373E+02,,
142,0.940,-1.1711E+02,,
143,0.947,-1.2049E+02,,
144,0.953,-1.2388E+02,,
145,0.960,-1.2726E+02,,
146,0.967,-1.3064E+02,,
147,0.973,-1.3403E+02,,
148,0.980,-1.3741E+02,,
149,0.987,-1.4080E+02,,
150,0.993,-1.4418E+02,,
151,1.000,-1.4756E+02,,
152,1.007,-1.5095E+02,,
153,1.013,-1.5433E+02,,
154,1.020,-1.5771E+02,,
155,1.027,-1.6110E+02,,
156,1.033,-1.6448E+02,,
157,1.040,-1.6787E+02,,
158,1.047,-1.7125E+02,,
159,1.053,-1.7463E+02,,
160,1.060,-1.7802E+02,,
161,1.067,1.7860E+02,,
162,1.073,1.7522E+02,,
163,1.080,1.7183E+02,,
164,1.087,1.6845E+02,,
165,1.093,1.6506E+02,,
166,1.100,1.6168E+02,,
167,1.107,1.5830E+02,,
168,1.113,1.5491E+02,,
169,1.120,1.5153E+02,,
170,1.127,1.4815E+02,,
171,1.133,1.4476E+02,,
172,1.140,1.4138E+02,,
173,1.147,1.3799E+02,,
174,1.153,1.3461E+02,,
175,1.160,1.3123E+02,,
176,1.167,1.2784E+02,,
177,1.173,1.2446E+02,,
178,1.180,1.2108E+02,,
179,1.187,1.1769E+02,,
180,1.193,1.1431E+02,,
181,1.200,1.1092E+02,,
182,1.207,1.0754E+02,,
183,1.213,1.0416E+02,,
184,1.220,1.0077E+02,,
185,1.227,9.7389E+01,,
186,1.233,9.4006E+01,,
187,1.240,9.0622E+01,,
188,1.247,8.7238E+01,,
189,1.253,8.3854E+01,,
190,1.260,8.0471E+01,,
191,1.267,7.7087E+01,,
192,1.273,7.3703E+01,,
193,1.280,7.0319E+01,,
194,1.287,6.6936E+01,,
195,1.293,6.3552E+01,,
196,1.300,6.0168E+01,,
197,1.307,5.6784E+01,,
198,1.313,5.3401E+01,,
199,1.320,5.0017E+01,,
200,1.327,4.6633E+01,,
201,1.333,4.3249E+01,,
202,1.340,3.9866E+01,,
203,1.347,3.6482E+01,,
204,1.353,3.3098E+01,,
205,1.360,2.9714E+01,,
206,1.367,2.6331E+01,,
207,1.373,2.2947E+01,,
208,1.380,1.9563E+01,,
209,1.387,1.6179E+01,,
210,1.393,1.2796E+01,,
211,1.400,9.4118E+00,,
212,1.407,6.0280E+00,,
213,1.413,2.6443E+00,,
214,1.420,-7.3946E-01,,
215,1.427,-4.1232E+00,,
216,1.433,-7.5070E+00,,
217,1.440,-1.0891E+01,,
218,1.447,-1.4274E+01,,
219,1.453,-1.7658E+01,,
220,1.460,-2.1042E+01,,
221,1.467,-2.4426E+01,,
222,1.473,-2.7809E+01,,
223,1.480,-3.1193E+01,,
224,1.487,-3.4577E+01,,
225,1.493,-3.7961E+01,,
226,1.500,-4.1344E+01,,
227,1.507,-4.4728E+01,,
228,1.513,-4.8112E+01,,
229,1.520,-5.1496E+01,,
230,1.527,-5.4880E+01,,
231,1.533,-5.8263E+01,,
232,1.540,-6.1647E+01,,
233,1.547,-6.5031E+01,,
234,1.553,-6.8415E+01,,
235,1.560,-7.1798E+01,,
236,1.567,-7.5182E+01,,
237,1.573,-7.8566E+01,,
238,1.580,-8.1950E+01,,
239,1.587,-8.5333E+01,,
240,1.593,-8.8717E+01,,
241,1.600,-9.2101E+01,,
242,1.607,-9.5485E+01,,
243,1.613,-9.8868E+01,,
244,1.620,-1.0225E+02,,
245,1.627,-1.0564E+02,,
246,1.633,-1.0902E+02,,
247,1.640,-1.1240E+02,,
248,1.647,-1.1579E+02,,
249,1.653,-1.1917E+02,,
250,1.660,-1.2255E+02,,
251,1.667,-1.2594E+02,,
252,1.673,-1.2932E+02,,
253,1.680,-1.3271E+02,,
254,1.687,-1.3609E+02,,
255,1.693,-1.3947E+02,,
256,1.700,-1.4286E+02,,
257,1.707,-1.4624E+02,,
258,1.713,-1.4962E+02,,
259,1.720,-1.5301E+02,,
260,1.727,-1.5639E+02,,
261,1.733,-1.5978E+02,,
262,1.740,-1.6316E+02,,
263,1.747,-1.6654E+02,,
264,1.753,-1.6993E+02,,
265,1.760,-1.7331E+02,,
266,1.767,-1.7669E+02,,
267,1.773,1.7992E+02,,
268,1.780,1.7654E+02,,
269,1.787,1.7315E+02,,
270,1.793,1.6977E+02,,
271,1.800,1.6639E+02,,
272,1.807,1.6300E+02,,
273,1.813,1.5962E+02,,
274,1.820,1.5624E+02,,
275,1.827,1.5285E+02,,
276,1.833,1.4947E+02,,
277,1.840,1.4608E+02,,
278,1.847,1.4270E+02,,
279,1.853,1.3932E+02,,
280,1.860,1.3593E+02,,
281,1.867,1.3255E+02,,
282,1.873,1.2917E+02,,
283,1.880,1.2578E+02,,
284,1.887,1.2240E+02,,
285,1.893,1.1901E+02,,
286,1.900,1.1563E+02,,
287,1.907,1.1225E+02,,
288,1.913,1.0886E+02,,
